********** Iniciando experimentos CUTMIX+FMIX sin aumentado: 05:21:01 **********
Ejecutando: prueba inicial CUTMIX+FMIX (sobre Oitaven)
GPUs detectadas: 2
********************Ejecutando prueba sobre el dataset oitaven ******************************
Cargando datos en memoria principal...
--- Iniciando Grid Search Paralelo (100 combinaciones) ---
[GPU: 0]  Evaluando: F_Alpha=0.5, Decay=2.0, Soft=1.0, C_Alpha=0.5, Epochs=200, Batch=256, Prob=0.5, Prob2=0.6, Usar_sampler=0
[GPU: 1]  Evaluando: F_Alpha=1.0, Decay=1.5, Soft=0.2, C_Alpha=0.5, Epochs=200, Batch=256, Prob=0.7, Prob2=0.4, Usar_sampler=0
[GPU: 0]  Evaluando: F_Alpha=1.0, Decay=1.5, Soft=1.0, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.5, Prob2=0.8, Usar_sampler=0
[GPU: 1]  Evaluando: F_Alpha=0.5, Decay=1.5, Soft=0.6, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.5, Prob2=0.4, Usar_sampler=0
[GPU: 0]  Evaluando: F_Alpha=1.2, Decay=2.0, Soft=1.0, C_Alpha=0.7, Epochs=200, Batch=256, Prob=0.7, Prob2=0.7, Usar_sampler=0
[GPU: 1]  Evaluando: F_Alpha=0.5, Decay=3.0, Soft=0.0, C_Alpha=0.7, Epochs=200, Batch=256, Prob=0.7, Prob2=0.3, Usar_sampler=0
[GPU: 1]  Fin evaluación: F_Alpha=1.0, Decay=1.5, Soft=0.2, C_Alpha=0.5, Epochs=200, Batch=256, Prob=0.7, Prob2=0.4, Usar_sampler=0 *************************
[GPU: 0]  Fin evaluación: F_Alpha=0.5, Decay=2.0, Soft=1.0, C_Alpha=0.5, Epochs=200, Batch=256, Prob=0.5, Prob2=0.6, Usar_sampler=0 *************************
[GPU: 0]  Evaluando: F_Alpha=1.2, Decay=2.0, Soft=0.4, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.3, Prob2=0.2, Usar_sampler=0
[GPU: 1]  Evaluando: F_Alpha=0.2, Decay=2.0, Soft=0.2, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.4, Prob2=0.5, Usar_sampler=0
[GPU: 1]  Fin evaluación: F_Alpha=0.5, Decay=3.0, Soft=0.0, C_Alpha=0.7, Epochs=200, Batch=256, Prob=0.7, Prob2=0.3, Usar_sampler=0 *************************
[GPU: 0]  Fin evaluación: F_Alpha=1.0, Decay=1.5, Soft=1.0, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.5, Prob2=0.8, Usar_sampler=0 *************************
[GPU: 0]  Evaluando: F_Alpha=0.1, Decay=3.0, Soft=0.6, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.7, Prob2=0.2, Usar_sampler=0
[GPU: 1]  Fin evaluación: F_Alpha=0.5, Decay=1.5, Soft=0.6, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.5, Prob2=0.4, Usar_sampler=0 *************************
[GPU: 1]  Evaluando: F_Alpha=0.1, Decay=1.0, Soft=1.0, C_Alpha=1.0, Epochs=200, Batch=256, Prob=0.8, Prob2=0.4, Usar_sampler=0
[GPU: 0]  Evaluando: F_Alpha=0.5, Decay=2.0, Soft=0.0, C_Alpha=0.7, Epochs=200, Batch=256, Prob=0.4, Prob2=0.3, Usar_sampler=0
[GPU: 0]  Fin evaluación: F_Alpha=1.2, Decay=2.0, Soft=1.0, C_Alpha=0.7, Epochs=200, Batch=256, Prob=0.7, Prob2=0.7, Usar_sampler=0 *************************
[GPU: 1]  Evaluando: F_Alpha=0.5, Decay=3.0, Soft=0.2, C_Alpha=0.1, Epochs=200, Batch=256, Prob=0.8, Prob2=0.7, Usar_sampler=0
[GPU: 0]  Fin evaluación: F_Alpha=1.2, Decay=2.0, Soft=0.4, C_Alpha=0.3, Epochs=200, Batch=256, Prob=0.3, Prob2=0.2, Usar_sampler=0 *************************
[GPU: 0]  Evaluando: F_Alpha=1.0, Decay=2.5, Soft=0.6, C_Alpha=0.1, Epochs=200, Batch=256, Prob=0.5, Prob2=0.8, Usar_sampler=0
