********** Iniciando experimentos FMIX con aumentado: 23:07:36 **********
Ejecutando: prueba inicial FMIX (sobre Oitaven)
GPUs detectadas: 2
********************Ejecutando prueba sobre el dataset oitaven ******************************
Cargando datos en memoria principal...
--- Iniciando Random Search Paralelo (150 de 2058 combinaciones totales) ---
[GPU: 0] Evaluando: Alpha=0.1, Decay=0.2, Soft=1.0, Epochs=100, Batch=256, Prob=0.4, Usar_sampler=1
[GPU: 1] Evaluando: Alpha=1.0, Decay=0.8, Soft=0.8, Epochs=100, Batch=256, Prob=0.3, Usar_sampler=1
[GPU: 0] Evaluando: Alpha=0.5, Decay=0.8, Soft=1.0, Epochs=100, Batch=256, Prob=0.5, Usar_sampler=1
[GPU: 1] Evaluando: Alpha=1.2, Decay=0.8, Soft=0.6, Epochs=100, Batch=256, Prob=0.5, Usar_sampler=1
[GPU: 0] Evaluando: Alpha=1.2, Decay=0.2, Soft=0.6, Epochs=100, Batch=256, Prob=0.3, Usar_sampler=1
[GPU: 1] Evaluando: Alpha=0.5, Decay=1.0, Soft=0.0, Epochs=100, Batch=256, Prob=0.3, Usar_sampler=1
[GPU: 0]  Fin evaluación: Alpha=0.1, Decay=0.2, Soft=1.0, Epochs=100, Batch=256, Prob=0.4, Usar_sampler=1 *************************
[GPU: 0] Evaluando: Alpha=0.1, Decay=0.2, Soft=0.2, Epochs=100, Batch=256, Prob=0.6, Usar_sampler=1
[GPU: 1]  Fin evaluación: Alpha=1.2, Decay=0.8, Soft=0.6, Epochs=100, Batch=256, Prob=0.5, Usar_sampler=1 *************************
[GPU: 1]  Fin evaluación: Alpha=1.0, Decay=0.8, Soft=0.8, Epochs=100, Batch=256, Prob=0.3, Usar_sampler=1 *************************
[GPU: 0]  Fin evaluación: Alpha=0.5, Decay=0.8, Soft=1.0, Epochs=100, Batch=256, Prob=0.5, Usar_sampler=1 *************************
[GPU: 1] Evaluando: Alpha=1.0, Decay=0.1, Soft=0.6, Epochs=100, Batch=256, Prob=0.6, Usar_sampler=1
